pair_id,region,midline_strategy,movement_region,movement,error,i410_1,i410_2
1,pharynx,UD,Tip,1,82.5426669115094,6215.64247468367,6233.01716264326
1,pharynx,RS,Tip,1,48.6363056888652,6215.64247468367,6233.01716264326
1,pharynx,RD,Tip,1,60.9561777680893,6215.64247468367,6233.01716264326
2,postPM3,US,PosteriorBulb,0,40.6147865313828,3977.23855004011,4013.98580272913
2,postPM3,UD,PosteriorBulb,0,52.0402605053634,3977.23855004011,4013.98580272913
2,postPM3,RS,PosteriorBulb,0,27.0174476980541,3977.23855004011,4013.98580272913
2,postPM3,RD,PosteriorBulb,0,24.9589859678188,3977.23855004011,4013.98580272913
2,postPM3,US,AnteriorBulb,0,40.6147865313828,3977.23855004011,4013.98580272913
2,postPM3,UD,AnteriorBulb,0,52.0402605053634,3977.23855004011,4013.98580272913
2,postPM3,RS,AnteriorBulb,0,27.0174476980541,3977.23855004011,4013.98580272913
2,postPM3,RD,AnteriorBulb,0,24.9589859678188,3977.23855004011,4013.98580272913
2,postPM3,US,SidesOfTip,0,40.6147865313828,3977.23855004011,4013.98580272913
2,postPM3,UD,SidesOfTip,0,52.0402605053634,3977.23855004011,4013.98580272913
2,postPM3,RS,SidesOfTip,0,27.0174476980541,3977.23855004011,4013.98580272913
2,postPM3,RD,SidesOfTip,0,24.9589859678188,3977.23855004011,4013.98580272913
2,postPM3,US,Tip,0,40.6147865313828,3977.23855004011,4013.98580272913
2,postPM3,UD,Tip,0,52.0402605053634,3977.23855004011,4013.98580272913
2,postPM3,RS,Tip,0,27.0174476980541,3977.23855004011,4013.98580272913
2,postPM3,RD,Tip,0,24.9589859678188,3977.23855004011,4013.98580272913
2,prePM7,US,PosteriorBulb,0,94.7736512076479,3719.70434922104,3642.5833922574
2,prePM7,UD,PosteriorBulb,0,97.4905314417617,3719.70434922104,3642.5833922574
2,prePM7,RS,PosteriorBulb,0,65.9873416790783,3719.70434922104,3642.5833922574
2,prePM7,RD,PosteriorBulb,0,65.4790938799541,3719.70434922104,3642.5833922574
2,prePM7,US,AnteriorBulb,0,94.7736512076479,3719.70434922104,3642.5833922574
2,prePM7,UD,AnteriorBulb,0,97.4905314417617,3719.70434922104,3642.5833922574
2,prePM7,RS,AnteriorBulb,0,65.9873416790783,3719.70434922104,3642.5833922574
2,prePM7,RD,AnteriorBulb,0,65.4790938799541,3719.70434922104,3642.5833922574
2,prePM7,US,SidesOfTip,0,94.7736512076479,3719.70434922104,3642.5833922574
2,prePM7,UD,SidesOfTip,0,97.4905314417617,3719.70434922104,3642.5833922574
2,prePM7,RS,SidesOfTip,0,65.9873416790783,3719.70434922104,3642.5833922574
2,prePM7,RD,SidesOfTip,0,65.4790938799541,3719.70434922104,3642.5833922574
2,prePM7,US,Tip,0,94.7736512076479,3719.70434922104,3642.5833922574
2,prePM7,UD,Tip,0,97.4905314417617,3719.70434922104,3642.5833922574
2,prePM7,RS,Tip,0,65.9873416790783,3719.70434922104,3642.5833922574
2,prePM7,RD,Tip,0,65.4790938799541,3719.70434922104,3642.5833922574
2,pm3,US,PosteriorBulb,0,83.8979479675456,7158.76451637739,7139.43679000048
2,pm3,UD,PosteriorBulb,0,82.9879121907091,7158.76451637739,7139.43679000048
2,pm3,RS,PosteriorBulb,0,46.4707014274007,7158.76451637739,7139.43679000048
2,pm3,RD,PosteriorBulb,0,47.3677302757327,7158.76451637739,7139.43679000048
2,pm3,US,AnteriorBulb,0,83.8979479675456,7158.76451637739,7139.43679000048
2,pm3,UD,AnteriorBulb,0,82.9879121907091,7158.76451637739,7139.43679000048
2,pm3,RS,AnteriorBulb,0,46.4707014274007,7158.76451637739,7139.43679000048
2,pm3,RD,AnteriorBulb,0,47.3677302757327,7158.76451637739,7139.43679000048
2,pm3,US,SidesOfTip,0,83.8979479675456,7158.76451637739,7139.43679000048
2,pm3,UD,SidesOfTip,0,82.9879121907091,7158.76451637739,7139.43679000048
2,pm3,RS,SidesOfTip,0,46.4707014274007,7158.76451637739,7139.43679000048
2,pm3,RD,SidesOfTip,0,47.3677302757327,7158.76451637739,7139.43679000048
2,pm3,US,Tip,0,83.8979479675456,7158.76451637739,7139.43679000048
2,pm3,UD,Tip,0,82.9879121907091,7158.76451637739,7139.43679000048
2,pm3,RS,Tip,0,46.4707014274007,7158.76451637739,7139.43679000048
2,pm3,RD,Tip,0,47.3677302757327,7158.76451637739,7139.43679000048
2,pm4,US,PosteriorBulb,0,130.979713830213,8696.68512424812,8569.55182773624
2,pm4,UD,PosteriorBulb,0,128.066628314963,8696.68512424812,8569.55182773624
2,pm4,RS,PosteriorBulb,0,115.938518426094,8696.68512424812,8569.55182773624
2,pm4,RD,PosteriorBulb,0,109.520037135841,8696.68512424812,8569.55182773624
2,pm4,US,AnteriorBulb,0,130.979713830213,8696.68512424812,8569.55182773624
2,pm4,UD,AnteriorBulb,0,128.066628314963,8696.68512424812,8569.55182773624
2,pm4,RS,AnteriorBulb,0,115.938518426094,8696.68512424812,8569.55182773624
2,pm4,RD,AnteriorBulb,0,109.520037135841,8696.68512424812,8569.55182773624
2,pm4,US,SidesOfTip,0,130.979713830213,8696.68512424812,8569.55182773624
2,pm4,UD,SidesOfTip,0,128.066628314963,8696.68512424812,8569.55182773624
2,pm4,RS,SidesOfTip,0,115.938518426094,8696.68512424812,8569.55182773624
2,pm4,RD,SidesOfTip,0,109.520037135841,8696.68512424812,8569.55182773624
2,pm4,US,Tip,0,130.979713830213,8696.68512424812,8569.55182773624
2,pm4,UD,Tip,0,128.066628314963,8696.68512424812,8569.55182773624
2,pm4,RS,Tip,0,115.938518426094,8696.68512424812,8569.55182773624
2,pm4,RD,Tip,0,109.520037135841,8696.68512424812,8569.55182773624
2,pm5,US,PosteriorBulb,0,74.6581643596265,4194.78111772723,4115.62905302672
2,pm5,UD,PosteriorBulb,0,84.4878969396399,4194.78111772723,4115.62905302672
2,pm5,RS,PosteriorBulb,0,58.7112476768476,4194.78111772723,4115.62905302672
2,pm5,RD,PosteriorBulb,0,66.2557999350845,4194.78111772723,4115.62905302672
2,pm5,US,AnteriorBulb,0,74.6581643596265,4194.78111772723,4115.62905302672
2,pm5,UD,AnteriorBulb,0,84.4878969396399,4194.78111772723,4115.62905302672
2,pm5,RS,AnteriorBulb,0,58.7112476768476,4194.78111772723,4115.62905302672
2,pm5,RD,AnteriorBulb,0,66.2557999350845,4194.78111772723,4115.62905302672
2,pm5,US,SidesOfTip,0,74.6581643596265,4194.78111772723,4115.62905302672
2,pm5,UD,SidesOfTip,0,84.4878969396399,4194.78111772723,4115.62905302672
2,pm5,RS,SidesOfTip,0,58.7112476768476,4194.78111772723,4115.62905302672
2,pm5,RD,SidesOfTip,0,66.2557999350845,4194.78111772723,4115.62905302672
2,pm5,US,Tip,0,74.6581643596265,4194.78111772723,4115.62905302672
2,pm5,UD,Tip,0,84.4878969396399,4194.78111772723,4115.62905302672
2,pm5,RS,Tip,0,58.7112476768476,4194.78111772723,4115.62905302672
2,pm5,RD,Tip,0,66.2557999350845,4194.78111772723,4115.62905302672
2,pm6,US,PosteriorBulb,0,59.2189839538994,7186.38160609012,7165.53222780782
2,pm6,UD,PosteriorBulb,0,46.8014335054804,7186.38160609012,7165.53222780782
2,pm6,RS,PosteriorBulb,0,25.3917139072537,7186.38160609012,7165.53222780782
2,pm6,RD,PosteriorBulb,0,20.1421020462845,7186.38160609012,7165.53222780782
2,pm6,US,AnteriorBulb,0,59.2189839538994,7186.38160609012,7165.53222780782
2,pm6,UD,AnteriorBulb,0,46.8014335054804,7186.38160609012,7165.53222780782
2,pm6,RS,AnteriorBulb,0,25.3917139072537,7186.38160609012,7165.53222780782
2,pm6,RD,AnteriorBulb,0,20.1421020462845,7186.38160609012,7165.53222780782
2,pm6,US,SidesOfTip,0,59.2189839538994,7186.38160609012,7165.53222780782
2,pm6,UD,SidesOfTip,0,46.8014335054804,7186.38160609012,7165.53222780782
2,pm6,RS,SidesOfTip,0,25.3917139072537,7186.38160609012,7165.53222780782
2,pm6,RD,SidesOfTip,0,20.1421020462845,7186.38160609012,7165.53222780782
2,pm6,US,Tip,0,59.2189839538994,7186.38160609012,7165.53222780782
2,pm6,UD,Tip,0,46.8014335054804,7186.38160609012,7165.53222780782
2,pm6,RS,Tip,0,25.3917139072537,7186.38160609012,7165.53222780782
2,pm6,RD,Tip,0,20.1421020462845,7186.38160609012,7165.53222780782
2,pm7,US,PosteriorBulb,0,68.8772937279464,10686.6583305109,10634.1916049365
2,pm7,UD,PosteriorBulb,0,62.0976348136145,10686.6583305109,10634.1916049365
2,pm7,RS,PosteriorBulb,0,40.3643522204492,10686.6583305109,10634.1916049365
2,pm7,RD,PosteriorBulb,0,37.0962373731299,10686.6583305109,10634.1916049365
2,pm7,US,AnteriorBulb,0,68.8772937279464,10686.6583305109,10634.1916049365
2,pm7,UD,AnteriorBulb,0,62.0976348136145,10686.6583305109,10634.1916049365
2,pm7,RS,AnteriorBulb,0,40.3643522204492,10686.6583305109,10634.1916049365
2,pm7,RD,AnteriorBulb,0,37.0962373731299,10686.6583305109,10634.1916049365
2,pm7,US,SidesOfTip,0,68.8772937279464,10686.6583305109,10634.1916049365
2,pm7,UD,SidesOfTip,0,62.0976348136145,10686.6583305109,10634.1916049365
2,pm7,RS,SidesOfTip,0,40.3643522204492,10686.6583305109,10634.1916049365
2,pm7,RD,SidesOfTip,0,37.0962373731299,10686.6583305109,10634.1916049365
2,pm7,US,Tip,0,68.8772937279464,10686.6583305109,10634.1916049365
2,pm7,UD,Tip,0,62.0976348136145,10686.6583305109,10634.1916049365
2,pm7,RS,Tip,0,40.3643522204492,10686.6583305109,10634.1916049365
2,pm7,RD,Tip,0,37.0962373731299,10686.6583305109,10634.1916049365
2,medial_axis,US,PosteriorBulb,0,85.3881923866214,6438.96375123204,6379.87814558745
2,medial_axis,UD,PosteriorBulb,0,86.810640952284,6438.96375123204,6379.87814558745
2,medial_axis,RS,PosteriorBulb,0,57.0229744519056,6438.96375123204,6379.87814558745
2,medial_axis,RD,PosteriorBulb,0,57.5308323901244,6438.96375123204,6379.87814558745
2,medial_axis,US,AnteriorBulb,0,85.3881923866214,6438.96375123204,6379.87814558745
2,medial_axis,UD,AnteriorBulb,0,86.810640952284,6438.96375123204,6379.87814558745
2,medial_axis,RS,AnteriorBulb,0,57.0229744519056,6438.96375123204,6379.87814558745
2,medial_axis,RD,AnteriorBulb,0,57.5308323901244,6438.96375123204,6379.87814558745
2,medial_axis,US,SidesOfTip,0,85.3881923866214,6438.96375123204,6379.87814558745
2,medial_axis,UD,SidesOfTip,0,86.810640952284,6438.96375123204,6379.87814558745
2,medial_axis,RS,SidesOfTip,0,57.0229744519056,6438.96375123204,6379.87814558745
2,medial_axis,RD,SidesOfTip,0,57.5308323901244,6438.96375123204,6379.87814558745
2,medial_axis,US,Tip,0,85.3881923866214,6438.96375123204,6379.87814558745
2,medial_axis,UD,Tip,0,86.810640952284,6438.96375123204,6379.87814558745
2,medial_axis,RS,Tip,0,57.0229744519056,6438.96375123204,6379.87814558745
2,medial_axis,RD,Tip,0,57.5308323901244,6438.96375123204,6379.87814558745
2,pharynx,US,PosteriorBulb,0,82.7759201469108,6194.1437422882,6140.1945655755
2,pharynx,UD,PosteriorBulb,0,84.652257554334,6194.1437422882,6140.1945655755
2,pharynx,RS,PosteriorBulb,0,55.5847989720134,6194.1437422882,6140.1945655755
2,pharynx,RD,PosteriorBulb,0,56.1442250206739,6194.1437422882,6140.1945655755
2,pharynx,US,AnteriorBulb,0,82.7759201469108,6194.1437422882,6140.1945655755
2,pharynx,UD,AnteriorBulb,0,84.652257554334,6194.1437422882,6140.1945655755
2,pharynx,RS,AnteriorBulb,0,55.5847989720134,6194.1437422882,6140.1945655755
2,pharynx,RD,AnteriorBulb,0,56.1442250206739,6194.1437422882,6140.1945655755
2,pharynx,US,SidesOfTip,0,82.7759201469108,6194.1437422882,6140.1945655755
2,pharynx,UD,SidesOfTip,0,84.652257554334,6194.1437422882,6140.1945655755
2,pharynx,RS,SidesOfTip,0,55.5847989720134,6194.1437422882,6140.1945655755
2,pharynx,RD,SidesOfTip,0,56.1442250206739,6194.1437422882,6140.1945655755
2,pharynx,US,Tip,0,82.7759201469108,6194.1437422882,6140.1945655755
2,pharynx,UD,Tip,0,84.652257554334,6194.1437422882,6140.1945655755
2,pharynx,RS,Tip,0,55.5847989720134,6194.1437422882,6140.1945655755
2,pharynx,RD,Tip,0,56.1442250206739,6194.1437422882,6140.1945655755
3,postPM3,US,PosteriorBulb,1,42.2873163092039,3976.9899415199,3971.39996568894
3,postPM3,UD,PosteriorBulb,1,34.4461085844437,3976.9899415199,3971.39996568894
3,postPM3,RS,PosteriorBulb,1,43.9087853527606,3976.9899415199,3971.39996568894
3,postPM3,RD,PosteriorBulb,1,38.0553106841883,3976.9899415199,3971.39996568894
3,postPM3,US,AnteriorBulb,1,42.2873163092039,3976.9899415199,3971.39996568894
3,postPM3,UD,AnteriorBulb,1,34.4461085844437,3976.9899415199,3971.39996568894
3,postPM3,RS,AnteriorBulb,1,43.9087853527606,3976.9899415199,3971.39996568894
3,postPM3,RD,AnteriorBulb,1,38.0553106841883,3976.9899415199,3971.39996568894
3,postPM3,US,SidesOfTip,0,42.2873163092039,3976.9899415199,3971.39996568894
3,postPM3,UD,SidesOfTip,0,34.4461085844437,3976.9899415199,3971.39996568894
3,postPM3,RS,SidesOfTip,0,43.9087853527606,3976.9899415199,3971.39996568894
3,postPM3,RD,SidesOfTip,0,38.0553106841883,3976.9899415199,3971.39996568894
3,postPM3,US,Tip,1,42.2873163092039,3976.9899415199,3971.39996568894
3,postPM3,UD,Tip,1,34.4461085844437,3976.9899415199,3971.39996568894
3,postPM3,RS,Tip,1,43.9087853527606,3976.9899415199,3971.39996568894
3,postPM3,RD,Tip,1,38.0553106841883,3976.9899415199,3971.39996568894
3,prePM7,US,PosteriorBulb,1,142.739432287395,3595.38112470473,3759.19293088205
3,prePM7,UD,PosteriorBulb,1,163.811806177321,3595.38112470473,3759.19293088205
3,prePM7,RS,PosteriorBulb,1,82.8768242288007,3595.38112470473,3759.19293088205
3,prePM7,RD,PosteriorBulb,1,72.5285522106013,3595.38112470473,3759.19293088205
3,prePM7,US,AnteriorBulb,1,142.739432287395,3595.38112470473,3759.19293088205
3,prePM7,UD,AnteriorBulb,1,163.811806177321,3595.38112470473,3759.19293088205
3,prePM7,RS,AnteriorBulb,1,82.8768242288007,3595.38112470473,3759.19293088205
3,prePM7,RD,AnteriorBulb,1,72.5285522106013,3595.38112470473,3759.19293088205
3,prePM7,US,SidesOfTip,0,142.739432287395,3595.38112470473,3759.19293088205
3,prePM7,UD,SidesOfTip,0,163.811806177321,3595.38112470473,3759.19293088205
3,prePM7,RS,SidesOfTip,0,82.8768242288007,3595.38112470473,3759.19293088205
3,prePM7,RD,SidesOfTip,0,72.5285522106013,3595.38112470473,3759.19293088205
3,prePM7,US,Tip,1,142.739432287395,3595.38112470473,3759.19293088205
3,prePM7,UD,Tip,1,163.811806177321,3595.38112470473,3759.19293088205
3,prePM7,RS,Tip,1,82.8768242288007,3595.38112470473,3759.19293088205
3,prePM7,RD,Tip,1,72.5285522106013,3595.38112470473,3759.19293088205
3,pm3,US,PosteriorBulb,1,62.2623387451968,7106.4234533657,7136.02694382916
3,pm3,UD,PosteriorBulb,1,59.1967638904565,7106.4234533657,7136.02694382916
3,pm3,RS,PosteriorBulb,1,55.4130195195408,7106.4234533657,7136.02694382916
3,pm3,RD,PosteriorBulb,1,53.5662643423364,7106.4234533657,7136.02694382916
3,pm3,US,AnteriorBulb,1,62.2623387451968,7106.4234533657,7136.02694382916
